original_unique_id,sub_manuscript_id,layout
6962_0015,vagbhatalamkara-vyakhya1,complex
6962_0039,vagbhatalamkara-vyakhya1,simple
6962_0013,vagbhatalamkara-vyakhya1,complex
1066_0004,tarkasangrahah-sateekah2,simple
1066_0028,tarkasangrahah-sateekah2,simple
1066_0030,tarkasangrahah-sateekah2,complex
1066_0027,tarkasangrahah-sateekah2,simple
1066_0002,tarkasangrahah-sateekah2,simple
1066_0005,tarkasangrahah-sateekah2,simple
1066_0013,tarkasangrahah-sateekah2,simple
1066_0029,tarkasangrahah-sateekah2,simple
1066_0015,tarkasangrahah-sateekah2,complex
1066_0025,tarkasangrahah-sateekah2,complex
1066_0010,tarkasangrahah-sateekah2,simple
1066_0001,tarkasangrahah-sateekah2,complex
1066_0032,tarkasangrahah-sateekah2,simple
1066_0021,tarkasangrahah-sateekah2,simple
1066_0011,tarkasangrahah-sateekah2,complex
1066_0003,tarkasangrahah-sateekah2,complex
1066_0014,tarkasangrahah-sateekah2,simple
1066_0009,tarkasangrahah-sateekah2,simple
1066_0033,tarkasangrahah-sateekah2,simple
1066_0017,tarkasangrahah-sateekah2,simple
1066_0007,tarkasangrahah-sateekah2,simple
1066_0020,tarkasangrahah-sateekah2,complex
1066_0016,tarkasangrahah-sateekah2,complex
1066_0006,tarkasangrahah-sateekah2,complex
1066_0024,tarkasangrahah-sateekah2,complex
1066_0018,tarkasangrahah-sateekah2,complex
1066_0012,tarkasangrahah-sateekah2,complex
1066_0034,tarkasangrahah-sateekah2,simple
1066_0019,tarkasangrahah-sateekah2,complex
1066_0008,tarkasangrahah-sateekah2,simple
1066_0031,tarkasangrahah-sateekah2,simple
1066_0026,tarkasangrahah-sateekah2,simple
1066_0022,tarkasangrahah-sateekah2,simple
1066_0023,tarkasangrahah-sateekah2,simple
5539_0009,vrittaratnakarah1,simple
5539_0004,vrittaratnakarah1,complex
5539_0007,vrittaratnakarah1,simple
5539_0006,vrittaratnakarah1,complex
5539_0014,vrittaratnakarah1,complex
5539_0002,vrittaratnakarah1,complex
5539_0005,vrittaratnakarah1,simple
5539_0012,vrittaratnakarah1,simple
5539_0013,vrittaratnakarah1,simple
5539_0010,vrittaratnakarah1,simple
5539_0008,vrittaratnakarah1,simple
5539_0003,vrittaratnakarah1,complex
5539_0001,vrittaratnakarah1,complex
5539_0011,vrittaratnakarah1,simple
1975_0017,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
1975_0025,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0020,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0003,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0005,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0022,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0012,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0010,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0006,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0024,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0027,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
1975_0018,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
1975_0011,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
1975_0004,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
1975_0013,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
1975_0007,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0021,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0008,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
1975_0009,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
1975_0016,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0026,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0023,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
1975_0019,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
1975_0015,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
1975_0001,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0002,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
1975_0014,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
5682_0011,yujurvedashakavrikshah-chitram,complex
5682_0002,yujurvedashakavrikshah-chitram,complex
5682_0009,yujurvedashakavrikshah-chitram,complex
5682_0003,yujurvedashakavrikshah-chitram,simple
5682_0007,yujurvedashakavrikshah-chitram,simple
5682_0006,yujurvedashakavrikshah-chitram,simple
5682_0004,yujurvedashakavrikshah-chitram,simple
5682_0010,yujurvedashakavrikshah-chitram,simple
5682_0008,yujurvedashakavrikshah-chitram,simple
5682_0005,yujurvedashakavrikshah-chitram,simple
1481_0156,amarakoshah-kanda2-3,complex
1481_0074,amarakoshah-kanda2-3,complex
1481_0121,amarakoshah-kanda2-3,complex
1481_0052,amarakoshah-kanda2-3,complex
1481_0120,amarakoshah-kanda2-3,complex
1481_0069,amarakoshah-kanda2-3,complex
1481_0124,amarakoshah-kanda2-3,complex
1481_0092,amarakoshah-kanda2-3,complex
1481_0099,amarakoshah-kanda2-3,complex
1481_0154,amarakoshah-kanda2-3,complex
1481_0025,amarakoshah-kanda2-3,complex
1481_0073,amarakoshah-kanda2-3,complex
1481_0117,amarakoshah-kanda2-3,complex
1481_0110,amarakoshah-kanda2-3,complex
1481_0072,amarakoshah-kanda2-3,complex
1481_0148,amarakoshah-kanda2-3,complex
1481_0102,amarakoshah-kanda2-3,complex
1481_0085,amarakoshah-kanda2-3,complex
1481_0044,amarakoshah-kanda2-3,complex
1481_0015,amarakoshah-kanda2-3,complex
1481_0090,amarakoshah-kanda2-3,complex
1481_0114,amarakoshah-kanda2-3,complex
1481_0036,amarakoshah-kanda2-3,complex
1481_0030,amarakoshah-kanda2-3,complex
1481_0129,amarakoshah-kanda2-3,complex
1481_0098,amarakoshah-kanda2-3,complex
1481_0125,amarakoshah-kanda2-3,complex
1481_0141,amarakoshah-kanda2-3,complex
1481_0040,amarakoshah-kanda2-3,complex
1481_0116,amarakoshah-kanda2-3,complex
1481_0081,amarakoshah-kanda2-3,complex
1481_0153,amarakoshah-kanda2-3,complex
1481_0160,amarakoshah-kanda2-3,complex
1481_0155,amarakoshah-kanda2-3,complex
1481_0136,amarakoshah-kanda2-3,complex
1481_0032,amarakoshah-kanda2-3,complex
1481_0115,amarakoshah-kanda2-3,complex
1481_0134,amarakoshah-kanda2-3,complex
1481_0149,amarakoshah-kanda2-3,complex
1481_0083,amarakoshah-kanda2-3,complex
1481_0132,amarakoshah-kanda2-3,complex
1481_0011,amarakoshah-kanda2-3,complex
1481_0133,amarakoshah-kanda2-3,complex
1481_0055,amarakoshah-kanda2-3,complex
1481_0043,amarakoshah-kanda2-3,complex
1481_0127,amarakoshah-kanda2-3,complex
1481_0089,amarakoshah-kanda2-3,complex
1481_0064,amarakoshah-kanda2-3,complex
1481_0159,amarakoshah-kanda2-3,complex
1481_0019,amarakoshah-kanda2-3,complex
1481_0079,amarakoshah-kanda2-3,complex
1481_0157,amarakoshah-kanda2-3,complex
1481_0047,amarakoshah-kanda2-3,complex
1481_0086,amarakoshah-kanda2-3,complex
1481_0111,amarakoshah-kanda2-3,complex
1481_0063,amarakoshah-kanda2-3,complex
1481_0010,amarakoshah-kanda2-3,complex
1481_0108,amarakoshah-kanda2-3,complex
1481_0051,amarakoshah-kanda2-3,complex
1481_0101,amarakoshah-kanda2-3,complex
1481_0002,amarakoshah-kanda2-3,complex
1481_0035,amarakoshah-kanda2-3,complex
1481_0147,amarakoshah-kanda2-3,complex
1481_0058,amarakoshah-kanda2-3,complex
1481_0123,amarakoshah-kanda2-3,complex
1481_0071,amarakoshah-kanda2-3,complex
1481_0033,amarakoshah-kanda2-3,complex
1481_0104,amarakoshah-kanda2-3,complex
1481_0048,amarakoshah-kanda2-3,complex
1481_0046,amarakoshah-kanda2-3,complex
1481_0076,amarakoshah-kanda2-3,complex
1481_0140,amarakoshah-kanda2-3,complex
1481_0109,amarakoshah-kanda2-3,complex
1481_0034,amarakoshah-kanda2-3,complex
1481_0135,amarakoshah-kanda2-3,complex
1481_0038,amarakoshah-kanda2-3,complex
1481_0018,amarakoshah-kanda2-3,complex
1481_0097,amarakoshah-kanda2-3,complex
1481_0050,amarakoshah-kanda2-3,complex
1481_0138,amarakoshah-kanda2-3,complex
1481_0006,amarakoshah-kanda2-3,complex
1481_0062,amarakoshah-kanda2-3,complex
1481_0027,amarakoshah-kanda2-3,complex
1481_0014,amarakoshah-kanda2-3,complex
1481_0067,amarakoshah-kanda2-3,complex
1481_0143,amarakoshah-kanda2-3,complex
1481_0137,amarakoshah-kanda2-3,complex
1481_0075,amarakoshah-kanda2-3,complex
1481_0130,amarakoshah-kanda2-3,complex
1481_0131,amarakoshah-kanda2-3,complex
1481_0066,amarakoshah-kanda2-3,complex
1481_0059,amarakoshah-kanda2-3,complex
1481_0152,amarakoshah-kanda2-3,complex
1481_0094,amarakoshah-kanda2-3,complex
1481_0068,amarakoshah-kanda2-3,complex
1481_0084,amarakoshah-kanda2-3,complex
1481_0158,amarakoshah-kanda2-3,complex
1481_0004,amarakoshah-kanda2-3,complex
1481_0095,amarakoshah-kanda2-3,complex
1481_0061,amarakoshah-kanda2-3,complex
1481_0082,amarakoshah-kanda2-3,complex
1481_0106,amarakoshah-kanda2-3,complex
1481_0008,amarakoshah-kanda2-3,complex
1481_0077,amarakoshah-kanda2-3,complex
1481_0118,amarakoshah-kanda2-3,complex
1481_0146,amarakoshah-kanda2-3,complex
1481_0005,amarakoshah-kanda2-3,complex
1481_0023,amarakoshah-kanda2-3,complex
1481_0139,amarakoshah-kanda2-3,complex
1481_0151,amarakoshah-kanda2-3,complex
1481_0112,amarakoshah-kanda2-3,complex
1481_0144,amarakoshah-kanda2-3,complex
1481_0070,amarakoshah-kanda2-3,complex
1481_0053,amarakoshah-kanda2-3,complex
1481_0080,amarakoshah-kanda2-3,complex
1481_0041,amarakoshah-kanda2-3,complex
1481_0028,amarakoshah-kanda2-3,complex
1481_0162,amarakoshah-kanda2-3,complex
1481_0105,amarakoshah-kanda2-3,complex
1481_0026,amarakoshah-kanda2-3,complex
1481_0042,amarakoshah-kanda2-3,complex
1481_0031,amarakoshah-kanda2-3,complex
1481_0003,amarakoshah-kanda2-3,complex
1481_0150,amarakoshah-kanda2-3,complex
1481_0017,amarakoshah-kanda2-3,complex
1481_0087,amarakoshah-kanda2-3,complex
1481_0024,amarakoshah-kanda2-3,complex
1481_0054,amarakoshah-kanda2-3,complex
1481_0045,amarakoshah-kanda2-3,complex
1481_0096,amarakoshah-kanda2-3,complex
1481_0021,amarakoshah-kanda2-3,complex
1481_0107,amarakoshah-kanda2-3,complex
1481_0009,amarakoshah-kanda2-3,complex
1481_0122,amarakoshah-kanda2-3,complex
1481_0007,amarakoshah-kanda2-3,complex
1481_0142,amarakoshah-kanda2-3,complex
1481_0020,amarakoshah-kanda2-3,complex
1481_0078,amarakoshah-kanda2-3,complex
1481_0100,amarakoshah-kanda2-3,complex
1481_0037,amarakoshah-kanda2-3,complex
1481_0128,amarakoshah-kanda2-3,complex
1481_0088,amarakoshah-kanda2-3,complex
1481_0145,amarakoshah-kanda2-3,complex
1481_0113,amarakoshah-kanda2-3,complex
1481_0065,amarakoshah-kanda2-3,complex
1481_0001,amarakoshah-kanda2-3,complex
1481_0057,amarakoshah-kanda2-3,complex
1481_0119,amarakoshah-kanda2-3,complex
1481_0039,amarakoshah-kanda2-3,complex
1481_0091,amarakoshah-kanda2-3,complex
1481_0126,amarakoshah-kanda2-3,complex
1481_0103,amarakoshah-kanda2-3,complex
1481_0016,amarakoshah-kanda2-3,complex
1481_0029,amarakoshah-kanda2-3,complex
1481_0093,amarakoshah-kanda2-3,complex
1481_0013,amarakoshah-kanda2-3,complex
1481_0161,amarakoshah-kanda2-3,complex
1481_0012,amarakoshah-kanda2-3,complex
1481_0060,amarakoshah-kanda2-3,complex
1481_0022,amarakoshah-kanda2-3,complex
1481_0056,amarakoshah-kanda2-3,complex
1481_0049,amarakoshah-kanda2-3,complex
5059_0004,pakshikachaturmasika-samvatsarika-pratikramanavidhah,complex
5059_0001,pakshikachaturmasika-samvatsarika-pratikramanavidhah,complex
5059_0003,pakshikachaturmasika-samvatsarika-pratikramanavidhah,complex
5059_0005,pakshikachaturmasika-samvatsarika-pratikramanavidhah,complex
5059_0002,pakshikachaturmasika-samvatsarika-pratikramanavidhah,simple
1201_0003,amaranathamahatmyam,simple
1201_0009,amaranathamahatmyam,simple
1201_0006,amaranathamahatmyam,simple
1201_0002,amaranathamahatmyam,simple
1201_0024,amaranathamahatmyam,simple
1201_0026,amaranathamahatmyam,simple
1201_0014,amaranathamahatmyam,simple
1201_0038,amaranathamahatmyam,simple
1201_0041,amaranathamahatmyam,simple
1201_0034,amaranathamahatmyam,simple
1201_0020,amaranathamahatmyam,simple
1201_0018,amaranathamahatmyam,simple
1201_0029,amaranathamahatmyam,simple
1201_0008,amaranathamahatmyam,simple
1201_0012,amaranathamahatmyam,simple
1201_0004,amaranathamahatmyam,simple
1201_0013,amaranathamahatmyam,simple
1201_0001,amaranathamahatmyam,complex
1201_0017,amaranathamahatmyam,simple
1201_0033,amaranathamahatmyam,simple
1201_0036,amaranathamahatmyam,simple
1201_0016,amaranathamahatmyam,simple
1201_0019,amaranathamahatmyam,simple
1201_0015,amaranathamahatmyam,simple
1201_0032,amaranathamahatmyam,simple
1201_0005,amaranathamahatmyam,simple
1201_0011,amaranathamahatmyam,simple
1201_0007,amaranathamahatmyam,simple
1201_0037,amaranathamahatmyam,simple
1201_0025,amaranathamahatmyam,simple
1201_0023,amaranathamahatmyam,simple
1201_0022,amaranathamahatmyam,simple
1201_0040,amaranathamahatmyam,simple
1201_0010,amaranathamahatmyam,simple
1201_0021,amaranathamahatmyam,simple
1201_0027,amaranathamahatmyam,simple
1201_0028,amaranathamahatmyam,simple
1201_0031,amaranathamahatmyam,simple
1201_0039,amaranathamahatmyam,simple
1201_0030,amaranathamahatmyam,simple
1201_0035,amaranathamahatmyam,simple
1201_0042,amaranathamahatmyam,simple
5354_0048,vrittaratnakarah,complex
5354_0013,vrittaratnakarah,complex
5354_0019,vrittaratnakarah,complex
5354_0009,vrittaratnakarah,complex
5354_0012,vrittaratnakarah,complex
5354_0025,vrittaratnakarah,complex
5354_0032,vrittaratnakarah,complex
5354_0042,vrittaratnakarah,complex
5354_0014,vrittaratnakarah,complex
5354_0034,vrittaratnakarah,complex
5354_0049,vrittaratnakarah,complex
5354_0038,vrittaratnakarah,complex
5354_0039,vrittaratnakarah,complex
5354_0005,vrittaratnakarah,complex
5354_0023,vrittaratnakarah,complex
5354_0030,vrittaratnakarah,complex
5354_0046,vrittaratnakarah,complex
5354_0020,vrittaratnakarah,complex
5354_0057,vrittaratnakarah,simple
5354_0002,vrittaratnakarah,complex
5354_0011,vrittaratnakarah,complex
5354_0006,vrittaratnakarah,complex
5354_0053,vrittaratnakarah,simple
5354_0043,vrittaratnakarah,simple
5354_0018,vrittaratnakarah,complex
5354_0051,vrittaratnakarah,simple
5354_0035,vrittaratnakarah,complex
5354_0024,vrittaratnakarah,complex
5354_0036,vrittaratnakarah,complex
5354_0056,vrittaratnakarah,simple
5354_0058,vrittaratnakarah,complex
5354_0007,vrittaratnakarah,complex
5354_0040,vrittaratnakarah,complex
5354_0033,vrittaratnakarah,complex
5354_0008,vrittaratnakarah,complex
5354_0055,vrittaratnakarah,complex
5354_0052,vrittaratnakarah,simple
5354_0021,vrittaratnakarah,complex
5354_0031,vrittaratnakarah,complex
5354_0004,vrittaratnakarah,complex
5354_0015,vrittaratnakarah,complex
5354_0037,vrittaratnakarah,complex
5354_0003,vrittaratnakarah,complex
5354_0010,vrittaratnakarah,complex
5354_0027,vrittaratnakarah,complex
5354_0045,vrittaratnakarah,simple
5354_0054,vrittaratnakarah,complex
5354_0050,vrittaratnakarah,simple
5354_0026,vrittaratnakarah,complex
5354_0001,vrittaratnakarah,complex
5354_0016,vrittaratnakarah,complex
5354_0022,vrittaratnakarah,complex
5354_0047,vrittaratnakarah,complex
5354_0041,vrittaratnakarah,simple
5354_0028,vrittaratnakarah,simple
5354_0017,vrittaratnakarah,complex
5354_0029,vrittaratnakarah,complex
5354_0044,vrittaratnakarah,complex
752_0004,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
752_0010,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
752_0011,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
752_0013,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
752_0005,bhagavatapuranam-sateekam-skandha-1-1mashlokah,complex
752_0003,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
752_0012,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
752_0009,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
752_0001,bhagavatapuranam-sateekam-skandha-1-1mashlokah,complex
752_0002,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
752_0006,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
752_0008,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
752_0007,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
838_0009,bhagavatamahatmyam-padmapuranagatam1,simple
838_0002,bhagavatamahatmyam-padmapuranagatam1,simple
838_0026,bhagavatamahatmyam-padmapuranagatam1,simple
838_0024,bhagavatamahatmyam-padmapuranagatam1,simple
838_0016,bhagavatamahatmyam-padmapuranagatam1,simple
838_0005,bhagavatamahatmyam-padmapuranagatam1,simple
838_0017,bhagavatamahatmyam-padmapuranagatam1,simple
838_0023,bhagavatamahatmyam-padmapuranagatam1,simple
838_0014,bhagavatamahatmyam-padmapuranagatam1,simple
838_0011,bhagavatamahatmyam-padmapuranagatam1,simple
838_0030,bhagavatamahatmyam-padmapuranagatam1,simple
838_0027,bhagavatamahatmyam-padmapuranagatam1,simple
838_0012,bhagavatamahatmyam-padmapuranagatam1,simple
838_0010,bhagavatamahatmyam-padmapuranagatam1,simple
838_0021,bhagavatamahatmyam-padmapuranagatam1,simple
838_0020,bhagavatamahatmyam-padmapuranagatam1,simple
838_0004,bhagavatamahatmyam-padmapuranagatam1,simple
838_0022,bhagavatamahatmyam-padmapuranagatam1,simple
838_0003,bhagavatamahatmyam-padmapuranagatam1,simple
838_0007,bhagavatamahatmyam-padmapuranagatam1,simple
838_0008,bhagavatamahatmyam-padmapuranagatam1,simple
838_0015,bhagavatamahatmyam-padmapuranagatam1,simple
838_0013,bhagavatamahatmyam-padmapuranagatam1,simple
838_0025,bhagavatamahatmyam-padmapuranagatam1,simple
838_0029,bhagavatamahatmyam-padmapuranagatam1,simple
838_0028,bhagavatamahatmyam-padmapuranagatam1,simple
838_0018,bhagavatamahatmyam-padmapuranagatam1,simple
838_0006,bhagavatamahatmyam-padmapuranagatam1,simple
838_0001,bhagavatamahatmyam-padmapuranagatam1,complex
838_0019,bhagavatamahatmyam-padmapuranagatam1,simple
408_0001,ravisankrantivicharah,complex
408_0003,ravisankrantivicharah,simple
408_0002,ravisankrantivicharah,simple
408_0004,ravisankrantivicharah,simple
215_0012,yajnavalkyashiksha,simple
215_0005,yajnavalkyashiksha,complex
215_0010,yajnavalkyashiksha,simple
215_0003,yajnavalkyashiksha,complex
215_0009,yajnavalkyashiksha,simple
215_0015,yajnavalkyashiksha,simple
215_0007,yajnavalkyashiksha,simple
215_0016,yajnavalkyashiksha,simple
215_0013,yajnavalkyashiksha,simple
215_0006,yajnavalkyashiksha,simple
215_0008,yajnavalkyashiksha,simple
215_0004,yajnavalkyashiksha,complex
215_0011,yajnavalkyashiksha,simple
215_0002,yajnavalkyashiksha,complex
215_0014,yajnavalkyashiksha,simple
44_0009,ashirmanimala,simple
44_0016,ashirmanimala,simple
44_0013,ashirmanimala,simple
44_0005,ashirmanimala,complex
44_0015,ashirmanimala,simple
44_0004,ashirmanimala,complex
44_0011,ashirmanimala,simple
44_0008,ashirmanimala,simple
44_0014,ashirmanimala,simple
44_0002,ashirmanimala,simple
44_0010,ashirmanimala,simple
44_0003,ashirmanimala,complex
44_0007,ashirmanimala,complex
44_0006,ashirmanimala,complex
44_0012,ashirmanimala,simple
5693_0008,dashabhuvanapatayah,complex
5693_0004,dashabhuvanapatayah,complex
5693_0010,dashabhuvanapatayah,complex
5693_0003,dashabhuvanapatayah,simple
5693_0009,dashabhuvanapatayah,complex
5693_0002,dashabhuvanapatayah,complex
5693_0006,dashabhuvanapatayah,simple
5693_0007,dashabhuvanapatayah,simple
5693_0005,dashabhuvanapatayah,complex
5693_0001,dashabhuvanapatayah,complex
