short_id,original_unique_id,dataset,sub_manuscript_id,layout
000058,1066_0003,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
000059,1066_0014,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000060,1066_0009,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000061,1066_0033,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000062,1066_0017,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000063,1066_0007,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000064,1066_0020,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
000065,1066_0016,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
000066,1066_0006,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
000067,1066_0024,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
000068,1066_0018,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
000069,1066_0012,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
000070,1066_0034,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000071,1066_0019,sanskrit-manuscripts,tarkasangrahah-sateekah2,complex
000072,1066_0008,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000073,1066_0031,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000074,1066_0026,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000075,1066_0022,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000076,1066_0023,sanskrit-manuscripts,tarkasangrahah-sateekah2,simple
000077,5539_0009,sanskrit-manuscripts,vrittaratnakarah1,simple
000078,5539_0004,sanskrit-manuscripts,vrittaratnakarah1,complex
000079,5539_0007,sanskrit-manuscripts,vrittaratnakarah1,simple
000080,5539_0006,sanskrit-manuscripts,vrittaratnakarah1,complex
000081,5539_0014,sanskrit-manuscripts,vrittaratnakarah1,complex
000082,5539_0002,sanskrit-manuscripts,vrittaratnakarah1,complex
000083,5539_0005,sanskrit-manuscripts,vrittaratnakarah1,simple
000084,5539_0012,sanskrit-manuscripts,vrittaratnakarah1,simple
000085,5539_0013,sanskrit-manuscripts,vrittaratnakarah1,simple
000086,5539_0010,sanskrit-manuscripts,vrittaratnakarah1,simple
000087,5539_0008,sanskrit-manuscripts,vrittaratnakarah1,simple
000088,5539_0003,sanskrit-manuscripts,vrittaratnakarah1,complex
000089,5539_0001,sanskrit-manuscripts,vrittaratnakarah1,complex
000090,5539_0011,sanskrit-manuscripts,vrittaratnakarah1,simple
000091,1975_0017,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000092,1975_0025,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000093,1975_0020,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000094,1975_0003,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000095,1975_0005,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000096,1975_0022,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000097,1975_0012,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000098,1975_0010,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000099,1975_0006,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000100,1975_0024,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000101,1975_0027,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000102,1975_0018,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000103,1975_0011,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000104,1975_0004,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000105,1975_0013,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000106,1975_0007,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000107,1975_0021,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000108,1975_0008,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000109,1975_0009,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000110,1975_0016,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000111,1975_0026,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000112,1975_0023,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000113,1975_0019,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000114,1975_0015,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000115,1975_0001,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000116,1975_0002,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000117,1975_0014,sanskrit-manuscripts,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000118,5682_0011,sanskrit-manuscripts,yujurvedashakavrikshah-chitram,complex
000119,5682_0002,sanskrit-manuscripts,yujurvedashakavrikshah-chitram,complex
000120,5682_0009,sanskrit-manuscripts,yujurvedashakavrikshah-chitram,complex
000121,5682_0003,sanskrit-manuscripts,yujurvedashakavrikshah-chitram,simple
000122,5682_0007,sanskrit-manuscripts,yujurvedashakavrikshah-chitram,simple
000123,5682_0006,sanskrit-manuscripts,yujurvedashakavrikshah-chitram,simple
000124,5682_0004,sanskrit-manuscripts,yujurvedashakavrikshah-chitram,simple
000125,5682_0010,sanskrit-manuscripts,yujurvedashakavrikshah-chitram,simple
000126,5682_0008,sanskrit-manuscripts,yujurvedashakavrikshah-chitram,simple
000127,5682_0005,sanskrit-manuscripts,yujurvedashakavrikshah-chitram,simple
000128,1481_0156,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000129,1481_0074,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000130,1481_0121,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000131,1481_0052,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000132,1481_0120,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000133,1481_0069,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000134,1481_0124,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000135,1481_0092,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000136,1481_0099,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000137,1481_0154,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000138,1481_0025,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000139,1481_0073,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000140,1481_0117,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000141,1481_0110,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000142,1481_0072,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000143,1481_0148,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000144,1481_0102,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000145,1481_0085,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000146,1481_0044,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000147,1481_0015,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000148,1481_0090,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000149,1481_0114,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000150,1481_0036,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000151,1481_0030,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000152,1481_0129,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000153,1481_0098,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000154,1481_0125,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000155,1481_0141,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000156,1481_0040,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000157,1481_0116,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000158,1481_0081,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000159,1481_0153,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000160,1481_0160,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000161,1481_0155,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000162,1481_0136,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000163,1481_0032,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000164,1481_0115,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000165,1481_0134,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000166,1481_0149,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000167,1481_0083,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000168,1481_0132,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000169,1481_0011,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000170,1481_0133,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000171,1481_0055,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000172,1481_0043,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000173,1481_0127,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000174,1481_0089,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000175,1481_0064,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000176,1481_0159,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000177,1481_0019,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000178,1481_0079,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000179,1481_0157,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000180,1481_0047,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000181,1481_0086,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000182,1481_0111,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000183,1481_0063,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000184,1481_0010,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000185,1481_0108,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000186,1481_0051,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000187,1481_0101,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000188,1481_0002,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000189,1481_0035,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000190,1481_0147,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000191,1481_0058,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000192,1481_0123,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000193,1481_0071,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000194,1481_0033,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000195,1481_0104,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000196,1481_0048,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000197,1481_0046,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000198,1481_0076,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000199,1481_0140,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000200,1481_0109,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000201,1481_0034,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000202,1481_0135,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000203,1481_0038,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000204,1481_0018,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000205,1481_0097,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000206,1481_0050,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000207,1481_0138,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000208,1481_0006,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000209,1481_0062,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000210,1481_0027,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000211,1481_0014,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000212,1481_0067,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000213,1481_0143,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000214,1481_0137,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000215,1481_0075,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000216,1481_0130,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000217,1481_0131,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000218,1481_0066,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000219,1481_0059,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000220,1481_0152,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000221,1481_0094,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000222,1481_0068,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000223,1481_0084,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000224,1481_0158,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000225,1481_0004,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000226,1481_0095,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000227,1481_0061,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000228,1481_0082,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000229,1481_0106,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000230,1481_0008,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000231,1481_0077,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000232,1481_0118,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000233,1481_0146,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000234,1481_0005,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000235,1481_0023,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000236,1481_0139,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000237,1481_0151,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000238,1481_0112,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000239,1481_0144,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000240,1481_0070,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000241,1481_0053,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000242,1481_0080,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000243,1481_0041,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000244,1481_0028,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000245,1481_0162,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000246,1481_0105,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000247,1481_0026,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000248,1481_0042,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000249,1481_0031,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000250,1481_0003,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000251,1481_0150,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000252,1481_0017,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000253,1481_0087,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000254,1481_0024,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000255,1481_0054,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000256,1481_0045,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000257,1481_0096,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000258,1481_0021,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000259,1481_0107,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000260,1481_0009,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000261,1481_0122,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000262,1481_0007,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000263,1481_0142,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000264,1481_0020,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000265,1481_0078,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000266,1481_0100,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000267,1481_0037,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000268,1481_0128,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000269,1481_0088,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000270,1481_0145,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000271,1481_0113,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000272,1481_0065,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000273,1481_0001,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000274,1481_0057,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000275,1481_0119,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000276,1481_0039,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000277,1481_0091,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000278,1481_0126,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000279,1481_0103,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000280,1481_0016,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000281,1481_0029,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000282,1481_0093,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000283,1481_0013,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000284,1481_0161,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000285,1481_0012,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000286,1481_0060,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000287,1481_0022,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000288,1481_0056,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000289,1481_0049,sanskrit-manuscripts,amarakoshah-kanda2-3,complex
000290,5059_0004,sanskrit-manuscripts,pakshikachaturmasika-samvatsarika-pratikramanavidhah,complex
000291,5059_0001,sanskrit-manuscripts,pakshikachaturmasika-samvatsarika-pratikramanavidhah,complex
000292,5059_0003,sanskrit-manuscripts,pakshikachaturmasika-samvatsarika-pratikramanavidhah,complex
000293,5059_0005,sanskrit-manuscripts,pakshikachaturmasika-samvatsarika-pratikramanavidhah,complex
000294,5059_0002,sanskrit-manuscripts,pakshikachaturmasika-samvatsarika-pratikramanavidhah,simple
000295,1201_0003,sanskrit-manuscripts,amaranathamahatmyam,simple
000296,1201_0009,sanskrit-manuscripts,amaranathamahatmyam,simple
000297,1201_0006,sanskrit-manuscripts,amaranathamahatmyam,simple
000298,1201_0002,sanskrit-manuscripts,amaranathamahatmyam,simple
000299,1201_0024,sanskrit-manuscripts,amaranathamahatmyam,simple
000300,1201_0026,sanskrit-manuscripts,amaranathamahatmyam,simple
000301,1201_0014,sanskrit-manuscripts,amaranathamahatmyam,simple
000302,1201_0038,sanskrit-manuscripts,amaranathamahatmyam,simple
000303,1201_0041,sanskrit-manuscripts,amaranathamahatmyam,simple
000304,1201_0034,sanskrit-manuscripts,amaranathamahatmyam,simple
000305,1201_0020,sanskrit-manuscripts,amaranathamahatmyam,simple
000306,1201_0018,sanskrit-manuscripts,amaranathamahatmyam,simple
000307,1201_0029,sanskrit-manuscripts,amaranathamahatmyam,simple
000308,1201_0008,sanskrit-manuscripts,amaranathamahatmyam,simple
000309,1201_0012,sanskrit-manuscripts,amaranathamahatmyam,simple
000310,1201_0004,sanskrit-manuscripts,amaranathamahatmyam,simple
000311,1201_0013,sanskrit-manuscripts,amaranathamahatmyam,simple
000312,1201_0001,sanskrit-manuscripts,amaranathamahatmyam,complex
000313,1201_0017,sanskrit-manuscripts,amaranathamahatmyam,simple
000314,1201_0033,sanskrit-manuscripts,amaranathamahatmyam,simple
000315,1201_0036,sanskrit-manuscripts,amaranathamahatmyam,simple
000316,1201_0016,sanskrit-manuscripts,amaranathamahatmyam,simple
000317,1201_0019,sanskrit-manuscripts,amaranathamahatmyam,simple
000318,1201_0015,sanskrit-manuscripts,amaranathamahatmyam,simple
000319,1201_0032,sanskrit-manuscripts,amaranathamahatmyam,simple
000320,1201_0005,sanskrit-manuscripts,amaranathamahatmyam,simple
000321,1201_0011,sanskrit-manuscripts,amaranathamahatmyam,simple
000322,1201_0007,sanskrit-manuscripts,amaranathamahatmyam,simple
000323,1201_0037,sanskrit-manuscripts,amaranathamahatmyam,simple
000324,1201_0025,sanskrit-manuscripts,amaranathamahatmyam,simple
000325,1201_0023,sanskrit-manuscripts,amaranathamahatmyam,simple
000326,1201_0022,sanskrit-manuscripts,amaranathamahatmyam,simple
000327,1201_0040,sanskrit-manuscripts,amaranathamahatmyam,simple
000328,1201_0010,sanskrit-manuscripts,amaranathamahatmyam,simple
000329,1201_0021,sanskrit-manuscripts,amaranathamahatmyam,simple
000330,1201_0027,sanskrit-manuscripts,amaranathamahatmyam,simple
000331,1201_0028,sanskrit-manuscripts,amaranathamahatmyam,simple
000332,1201_0031,sanskrit-manuscripts,amaranathamahatmyam,simple
000333,1201_0039,sanskrit-manuscripts,amaranathamahatmyam,simple
000334,1201_0030,sanskrit-manuscripts,amaranathamahatmyam,simple
000335,1201_0035,sanskrit-manuscripts,amaranathamahatmyam,simple
000336,1201_0042,sanskrit-manuscripts,amaranathamahatmyam,simple
000337,5354_0048,sanskrit-manuscripts,vrittaratnakarah,complex
000338,5354_0013,sanskrit-manuscripts,vrittaratnakarah,complex
000339,5354_0019,sanskrit-manuscripts,vrittaratnakarah,complex
000340,5354_0009,sanskrit-manuscripts,vrittaratnakarah,complex
000341,5354_0012,sanskrit-manuscripts,vrittaratnakarah,complex
000342,5354_0025,sanskrit-manuscripts,vrittaratnakarah,complex
000343,5354_0032,sanskrit-manuscripts,vrittaratnakarah,complex
000344,5354_0042,sanskrit-manuscripts,vrittaratnakarah,complex
000345,5354_0014,sanskrit-manuscripts,vrittaratnakarah,complex
000346,5354_0034,sanskrit-manuscripts,vrittaratnakarah,complex
000347,5354_0049,sanskrit-manuscripts,vrittaratnakarah,complex
000348,5354_0038,sanskrit-manuscripts,vrittaratnakarah,complex
000349,5354_0039,sanskrit-manuscripts,vrittaratnakarah,complex
000350,5354_0005,sanskrit-manuscripts,vrittaratnakarah,complex
000351,5354_0023,sanskrit-manuscripts,vrittaratnakarah,complex
000352,5354_0030,sanskrit-manuscripts,vrittaratnakarah,complex
000353,5354_0046,sanskrit-manuscripts,vrittaratnakarah,complex
000354,5354_0020,sanskrit-manuscripts,vrittaratnakarah,complex
000355,5354_0057,sanskrit-manuscripts,vrittaratnakarah,simple
