short_id,original_unique_id,dataset,layout
000052,1066_0002,tarkasangrahah-sateekah2,simple
000053,1066_0001,tarkasangrahah-sateekah2,complex
000054,1066_0025,tarkasangrahah-sateekah2,complex
000055,1066_0029,tarkasangrahah-sateekah2,simple
000056,1066_0034,tarkasangrahah-sateekah2,simple
000057,1066_0009,tarkasangrahah-sateekah2,simple
000058,1066_0027,tarkasangrahah-sateekah2,simple
000059,1066_0010,tarkasangrahah-sateekah2,simple
000060,1066_0005,tarkasangrahah-sateekah2,simple
000061,1066_0013,tarkasangrahah-sateekah2,simple
000062,1066_0020,tarkasangrahah-sateekah2,complex
000063,1066_0008,tarkasangrahah-sateekah2,simple
000064,1066_0016,tarkasangrahah-sateekah2,complex
000065,1066_0018,tarkasangrahah-sateekah2,complex
000066,1066_0014,tarkasangrahah-sateekah2,simple
000067,1066_0022,tarkasangrahah-sateekah2,simple
000068,1066_0028,tarkasangrahah-sateekah2,simple
000069,1066_0012,tarkasangrahah-sateekah2,complex
000070,1066_0026,tarkasangrahah-sateekah2,simple
000071,1066_0031,tarkasangrahah-sateekah2,simple
000072,1066_0004,tarkasangrahah-sateekah2,simple
000073,1066_0003,tarkasangrahah-sateekah2,complex
000074,1066_0024,tarkasangrahah-sateekah2,complex
000075,1066_0021,tarkasangrahah-sateekah2,simple
000076,1066_0006,tarkasangrahah-sateekah2,complex
000077,5539_0011,vrittaratnakarah1,simple
000078,5539_0004,vrittaratnakarah1,complex
000079,5539_0013,vrittaratnakarah1,simple
000080,5539_0005,vrittaratnakarah1,simple
000081,5539_0001,vrittaratnakarah1,complex
000082,5539_0007,vrittaratnakarah1,simple
000083,5539_0008,vrittaratnakarah1,simple
000084,5539_0002,vrittaratnakarah1,complex
000085,5539_0010,vrittaratnakarah1,simple
000086,5539_0012,vrittaratnakarah1,simple
000087,5539_0006,vrittaratnakarah1,complex
000088,5539_0009,vrittaratnakarah1,simple
000089,5539_0003,vrittaratnakarah1,complex
000090,5539_0014,vrittaratnakarah1,complex
000091,1975_0007,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000092,1975_0023,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000093,1975_0005,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000094,1975_0022,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000095,1975_0016,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000096,1975_0020,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000097,1975_0004,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000098,1975_0010,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000099,1975_0011,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000100,1975_0025,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000101,1975_0013,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000102,1975_0024,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000103,1975_0017,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000104,1975_0008,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000105,1975_0015,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000106,1975_0026,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000107,1975_0006,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000108,1975_0003,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000109,1975_0001,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000110,1975_0002,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000111,1975_0019,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000112,1975_0027,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000113,1975_0012,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000114,1975_0018,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000115,1975_0021,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000116,1975_0009,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,simple
000117,1975_0014,vyapati-sang-rahah-muktavaligatavyapati-vyakhya,complex
000118,5682_0011,yujurvedashakavrikshah-chitram,complex
000119,5682_0002,yujurvedashakavrikshah-chitram,complex
000120,5682_0009,yujurvedashakavrikshah-chitram,complex
000121,5682_0003,yujurvedashakavrikshah-chitram,simple
000122,5682_0007,yujurvedashakavrikshah-chitram,simple
000123,5682_0006,yujurvedashakavrikshah-chitram,simple
000124,5682_0004,yujurvedashakavrikshah-chitram,simple
000125,5682_0010,yujurvedashakavrikshah-chitram,simple
000126,5682_0008,yujurvedashakavrikshah-chitram,simple
000127,5682_0005,yujurvedashakavrikshah-chitram,simple
000128,1481_0156,amarakoshah-kanda2-3,complex
000129,1481_0074,amarakoshah-kanda2-3,complex
000130,1481_0121,amarakoshah-kanda2-3,complex
000131,1481_0052,amarakoshah-kanda2-3,complex
000132,1481_0120,amarakoshah-kanda2-3,complex
000133,1481_0069,amarakoshah-kanda2-3,complex
000134,1481_0124,amarakoshah-kanda2-3,complex
000135,1481_0092,amarakoshah-kanda2-3,complex
000136,1481_0099,amarakoshah-kanda2-3,complex
000137,1481_0154,amarakoshah-kanda2-3,complex
000138,1481_0025,amarakoshah-kanda2-3,complex
000139,1481_0073,amarakoshah-kanda2-3,complex
000140,1481_0117,amarakoshah-kanda2-3,complex
000141,1481_0110,amarakoshah-kanda2-3,complex
000142,1481_0072,amarakoshah-kanda2-3,complex
000143,1481_0148,amarakoshah-kanda2-3,complex
000144,1481_0102,amarakoshah-kanda2-3,complex
000145,1481_0085,amarakoshah-kanda2-3,complex
000146,1481_0044,amarakoshah-kanda2-3,complex
000147,1481_0015,amarakoshah-kanda2-3,complex
000148,1481_0090,amarakoshah-kanda2-3,complex
000149,1481_0114,amarakoshah-kanda2-3,complex
000150,1481_0036,amarakoshah-kanda2-3,complex
000151,1481_0030,amarakoshah-kanda2-3,complex
000152,1481_0129,amarakoshah-kanda2-3,complex
000153,1481_0098,amarakoshah-kanda2-3,complex
000154,1481_0125,amarakoshah-kanda2-3,complex
000155,1481_0141,amarakoshah-kanda2-3,complex
000156,1481_0040,amarakoshah-kanda2-3,complex
000157,1481_0116,amarakoshah-kanda2-3,complex
000158,1481_0081,amarakoshah-kanda2-3,complex
000159,1481_0153,amarakoshah-kanda2-3,complex
000160,1481_0160,amarakoshah-kanda2-3,complex
000161,1481_0155,amarakoshah-kanda2-3,complex
000162,1481_0136,amarakoshah-kanda2-3,complex
000163,1481_0032,amarakoshah-kanda2-3,complex
000164,1481_0115,amarakoshah-kanda2-3,complex
000165,1481_0134,amarakoshah-kanda2-3,complex
000166,1481_0149,amarakoshah-kanda2-3,complex
000167,1481_0083,amarakoshah-kanda2-3,complex
000168,1481_0132,amarakoshah-kanda2-3,complex
000169,1481_0011,amarakoshah-kanda2-3,complex
000170,1481_0133,amarakoshah-kanda2-3,complex
000171,1481_0055,amarakoshah-kanda2-3,complex
000172,1481_0043,amarakoshah-kanda2-3,complex
000173,1481_0127,amarakoshah-kanda2-3,complex
000174,1481_0089,amarakoshah-kanda2-3,complex
000175,1481_0064,amarakoshah-kanda2-3,complex
000176,1481_0159,amarakoshah-kanda2-3,complex
000177,1481_0019,amarakoshah-kanda2-3,complex
000178,1481_0079,amarakoshah-kanda2-3,complex
000179,1481_0157,amarakoshah-kanda2-3,complex
000180,1481_0047,amarakoshah-kanda2-3,complex
000181,1481_0086,amarakoshah-kanda2-3,complex
000182,1481_0111,amarakoshah-kanda2-3,complex
000183,1481_0063,amarakoshah-kanda2-3,complex
000184,1481_0010,amarakoshah-kanda2-3,complex
000185,1481_0108,amarakoshah-kanda2-3,complex
000186,1481_0051,amarakoshah-kanda2-3,complex
000187,1481_0101,amarakoshah-kanda2-3,complex
000188,1481_0002,amarakoshah-kanda2-3,complex
000189,1481_0035,amarakoshah-kanda2-3,complex
000190,1481_0147,amarakoshah-kanda2-3,complex
000191,1481_0058,amarakoshah-kanda2-3,complex
000192,1481_0123,amarakoshah-kanda2-3,complex
000193,1481_0071,amarakoshah-kanda2-3,complex
000194,1481_0033,amarakoshah-kanda2-3,complex
000195,1481_0104,amarakoshah-kanda2-3,complex
000196,1481_0048,amarakoshah-kanda2-3,complex
000197,1481_0046,amarakoshah-kanda2-3,complex
000198,1481_0076,amarakoshah-kanda2-3,complex
000199,1481_0140,amarakoshah-kanda2-3,complex
000200,1481_0109,amarakoshah-kanda2-3,complex
000201,1481_0034,amarakoshah-kanda2-3,complex
000202,1481_0135,amarakoshah-kanda2-3,complex
000203,1481_0038,amarakoshah-kanda2-3,complex
000204,1481_0018,amarakoshah-kanda2-3,complex
000205,1481_0097,amarakoshah-kanda2-3,complex
000206,1481_0050,amarakoshah-kanda2-3,complex
000207,1481_0138,amarakoshah-kanda2-3,complex
000208,1481_0006,amarakoshah-kanda2-3,complex
000209,1481_0062,amarakoshah-kanda2-3,complex
000210,1481_0027,amarakoshah-kanda2-3,complex
000211,1481_0014,amarakoshah-kanda2-3,complex
000212,1481_0067,amarakoshah-kanda2-3,complex
000213,1481_0143,amarakoshah-kanda2-3,complex
000214,1481_0137,amarakoshah-kanda2-3,complex
000215,1481_0075,amarakoshah-kanda2-3,complex
000216,1481_0130,amarakoshah-kanda2-3,complex
000217,1481_0131,amarakoshah-kanda2-3,complex
000218,1481_0066,amarakoshah-kanda2-3,complex
000219,1481_0059,amarakoshah-kanda2-3,complex
000220,1481_0152,amarakoshah-kanda2-3,complex
000221,1481_0094,amarakoshah-kanda2-3,complex
000222,1481_0068,amarakoshah-kanda2-3,complex
000223,1481_0084,amarakoshah-kanda2-3,complex
000224,1481_0158,amarakoshah-kanda2-3,complex
000225,1481_0004,amarakoshah-kanda2-3,complex
000226,1481_0095,amarakoshah-kanda2-3,complex
000227,1481_0061,amarakoshah-kanda2-3,complex
000228,1481_0082,amarakoshah-kanda2-3,complex
000229,1481_0106,amarakoshah-kanda2-3,complex
000230,1481_0008,amarakoshah-kanda2-3,complex
000231,1481_0077,amarakoshah-kanda2-3,complex
000232,1481_0118,amarakoshah-kanda2-3,complex
000233,1481_0146,amarakoshah-kanda2-3,complex
000234,1481_0005,amarakoshah-kanda2-3,complex
000235,1481_0023,amarakoshah-kanda2-3,complex
000236,1481_0139,amarakoshah-kanda2-3,complex
000237,1481_0151,amarakoshah-kanda2-3,complex
000238,1481_0112,amarakoshah-kanda2-3,complex
000239,1481_0144,amarakoshah-kanda2-3,complex
000240,1481_0070,amarakoshah-kanda2-3,complex
000241,1481_0053,amarakoshah-kanda2-3,complex
000242,1481_0080,amarakoshah-kanda2-3,complex
000243,1481_0041,amarakoshah-kanda2-3,complex
000244,1481_0028,amarakoshah-kanda2-3,complex
000245,1481_0162,amarakoshah-kanda2-3,complex
000246,1481_0105,amarakoshah-kanda2-3,complex
000247,1481_0026,amarakoshah-kanda2-3,complex
000248,1481_0042,amarakoshah-kanda2-3,complex
000249,1481_0031,amarakoshah-kanda2-3,complex
000250,1481_0003,amarakoshah-kanda2-3,complex
000251,1481_0150,amarakoshah-kanda2-3,complex
000252,1481_0017,amarakoshah-kanda2-3,complex
000253,1481_0087,amarakoshah-kanda2-3,complex
000254,1481_0024,amarakoshah-kanda2-3,complex
000255,1481_0054,amarakoshah-kanda2-3,complex
000256,1481_0045,amarakoshah-kanda2-3,complex
000257,1481_0096,amarakoshah-kanda2-3,complex
000258,1481_0021,amarakoshah-kanda2-3,complex
000259,1481_0107,amarakoshah-kanda2-3,complex
000260,1481_0009,amarakoshah-kanda2-3,complex
000261,1481_0122,amarakoshah-kanda2-3,complex
000262,1481_0007,amarakoshah-kanda2-3,complex
000263,1481_0142,amarakoshah-kanda2-3,complex
000264,1481_0020,amarakoshah-kanda2-3,complex
000265,1481_0078,amarakoshah-kanda2-3,complex
000266,1481_0100,amarakoshah-kanda2-3,complex
000267,1481_0037,amarakoshah-kanda2-3,complex
000268,1481_0128,amarakoshah-kanda2-3,complex
000269,1481_0088,amarakoshah-kanda2-3,complex
000270,1481_0145,amarakoshah-kanda2-3,complex
000271,1481_0113,amarakoshah-kanda2-3,complex
000272,1481_0065,amarakoshah-kanda2-3,complex
000273,1481_0001,amarakoshah-kanda2-3,complex
000274,1481_0057,amarakoshah-kanda2-3,complex
000275,1481_0119,amarakoshah-kanda2-3,complex
000276,1481_0039,amarakoshah-kanda2-3,complex
000277,1481_0091,amarakoshah-kanda2-3,complex
000278,1481_0126,amarakoshah-kanda2-3,complex
000279,1481_0103,amarakoshah-kanda2-3,complex
000280,1481_0016,amarakoshah-kanda2-3,complex
000281,1481_0029,amarakoshah-kanda2-3,complex
000282,1481_0093,amarakoshah-kanda2-3,complex
000283,1481_0013,amarakoshah-kanda2-3,complex
000284,1481_0161,amarakoshah-kanda2-3,complex
000285,1481_0012,amarakoshah-kanda2-3,complex
000286,1481_0060,amarakoshah-kanda2-3,complex
000287,1481_0022,amarakoshah-kanda2-3,complex
000288,1481_0056,amarakoshah-kanda2-3,complex
000289,1481_0049,amarakoshah-kanda2-3,complex
000290,5059_0001,pakshikachaturmasika-samvatsarika-pratikramanavidhah,complex
000291,5059_0004,pakshikachaturmasika-samvatsarika-pratikramanavidhah,complex
000292,5059_0003,pakshikachaturmasika-samvatsarika-pratikramanavidhah,complex
000293,5059_0002,pakshikachaturmasika-samvatsarika-pratikramanavidhah,simple
000294,5059_0005,pakshikachaturmasika-samvatsarika-pratikramanavidhah,complex
000295,1201_0041,amaranathamahatmyam,simple
000296,1201_0004,amaranathamahatmyam,simple
000297,1201_0022,amaranathamahatmyam,simple
000298,1201_0037,amaranathamahatmyam,simple
000299,1201_0038,amaranathamahatmyam,simple
000300,1201_0040,amaranathamahatmyam,simple
000301,1201_0007,amaranathamahatmyam,simple
000302,1201_0016,amaranathamahatmyam,simple
000303,1201_0012,amaranathamahatmyam,simple
000304,1201_0014,amaranathamahatmyam,simple
000305,1201_0024,amaranathamahatmyam,simple
000306,1201_0002,amaranathamahatmyam,simple
000307,1201_0034,amaranathamahatmyam,simple
000308,1201_0018,amaranathamahatmyam,simple
000309,1201_0027,amaranathamahatmyam,simple
000310,1201_0028,amaranathamahatmyam,simple
000311,1201_0010,amaranathamahatmyam,simple
000312,1201_0001,amaranathamahatmyam,complex
000313,1201_0023,amaranathamahatmyam,simple
000314,1201_0013,amaranathamahatmyam,simple
000315,1201_0003,amaranathamahatmyam,simple
000316,1201_0039,amaranathamahatmyam,simple
000317,1201_0029,amaranathamahatmyam,simple
000318,1201_0035,amaranathamahatmyam,simple
000319,1201_0021,amaranathamahatmyam,simple
000320,1201_0042,amaranathamahatmyam,simple
000321,1201_0031,amaranathamahatmyam,simple
000322,1201_0020,amaranathamahatmyam,simple
000323,1201_0026,amaranathamahatmyam,simple
000324,1201_0009,amaranathamahatmyam,simple
000325,1201_0008,amaranathamahatmyam,simple
000326,1201_0015,amaranathamahatmyam,simple
000327,1201_0036,amaranathamahatmyam,simple
000328,1201_0011,amaranathamahatmyam,simple
000329,1201_0025,amaranathamahatmyam,simple
000330,1201_0019,amaranathamahatmyam,simple
000331,1201_0005,amaranathamahatmyam,simple
000332,1201_0033,amaranathamahatmyam,simple
000333,1201_0030,amaranathamahatmyam,simple
000334,1201_0017,amaranathamahatmyam,simple
000335,1201_0032,amaranathamahatmyam,simple
000336,1201_0006,amaranathamahatmyam,simple
000337,5354_0031,vrittaratnakarah,complex
000338,5354_0037,vrittaratnakarah,complex
000339,5354_0026,vrittaratnakarah,complex
000340,5354_0055,vrittaratnakarah,complex
000341,5354_0030,vrittaratnakarah,complex
000342,5354_0009,vrittaratnakarah,complex
000343,5354_0044,vrittaratnakarah,complex
000344,5354_0043,vrittaratnakarah,simple
000345,5354_0015,vrittaratnakarah,complex
000346,5354_0010,vrittaratnakarah,complex
000347,5354_0007,vrittaratnakarah,complex
000348,5354_0050,vrittaratnakarah,simple
000349,5354_0034,vrittaratnakarah,complex
000350,5354_0021,vrittaratnakarah,complex
000351,5354_0002,vrittaratnakarah,complex
000352,5354_0029,vrittaratnakarah,complex
000353,5354_0022,vrittaratnakarah,complex
000354,5354_0001,vrittaratnakarah,complex
000355,5354_0019,vrittaratnakarah,complex
000356,5354_0047,vrittaratnakarah,complex
000357,5354_0041,vrittaratnakarah,simple
000358,5354_0024,vrittaratnakarah,complex
000359,5354_0011,vrittaratnakarah,complex
000360,5354_0033,vrittaratnakarah,complex
000361,5354_0042,vrittaratnakarah,complex
000362,5354_0014,vrittaratnakarah,complex
000363,5354_0046,vrittaratnakarah,complex
000364,5354_0012,vrittaratnakarah,complex
000365,5354_0032,vrittaratnakarah,complex
000366,5354_0027,vrittaratnakarah,complex
000367,5354_0052,vrittaratnakarah,simple
000368,5354_0028,vrittaratnakarah,simple
000369,5354_0040,vrittaratnakarah,complex
000370,5354_0039,vrittaratnakarah,complex
000371,5354_0048,vrittaratnakarah,complex
000372,5354_0006,vrittaratnakarah,complex
000373,5354_0038,vrittaratnakarah,complex
000374,5354_0023,vrittaratnakarah,complex
000375,5354_0005,vrittaratnakarah,complex
000376,5354_0056,vrittaratnakarah,simple
000377,5354_0036,vrittaratnakarah,complex
000378,5354_0017,vrittaratnakarah,complex
000379,5354_0018,vrittaratnakarah,complex
000380,5354_0054,vrittaratnakarah,complex
000381,5354_0057,vrittaratnakarah,simple
000382,5354_0051,vrittaratnakarah,simple
000383,5354_0020,vrittaratnakarah,complex
000384,5354_0013,vrittaratnakarah,complex
000385,5354_0053,vrittaratnakarah,simple
000386,5354_0025,vrittaratnakarah,complex
000387,5354_0058,vrittaratnakarah,complex
000388,5354_0016,vrittaratnakarah,complex
000389,5354_0049,vrittaratnakarah,complex
000390,5354_0004,vrittaratnakarah,complex
000391,5354_0045,vrittaratnakarah,simple
000392,5354_0003,vrittaratnakarah,complex
000393,5354_0008,vrittaratnakarah,complex
000394,5354_0035,vrittaratnakarah,complex
000395,752_0006,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
000396,752_0005,bhagavatapuranam-sateekam-skandha-1-1mashlokah,complex
000397,752_0003,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
000398,752_0011,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
000399,752_0007,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
000400,752_0012,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
000401,752_0004,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
000402,752_0008,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
000403,752_0010,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
000404,752_0002,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
000405,752_0009,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
000406,752_0001,bhagavatapuranam-sateekam-skandha-1-1mashlokah,complex
000407,752_0013,bhagavatapuranam-sateekam-skandha-1-1mashlokah,simple
000408,838_0010,bhagavatamahatmyam-padmapuranagatam1,simple
000409,838_0009,bhagavatamahatmyam-padmapuranagatam1,simple
000410,838_0026,bhagavatamahatmyam-padmapuranagatam1,simple
000411,838_0030,bhagavatamahatmyam-padmapuranagatam1,simple
000412,838_0021,bhagavatamahatmyam-padmapuranagatam1,simple
000413,838_0003,bhagavatamahatmyam-padmapuranagatam1,simple
000414,838_0024,bhagavatamahatmyam-padmapuranagatam1,simple
000415,838_0025,bhagavatamahatmyam-padmapuranagatam1,simple
000416,838_0007,bhagavatamahatmyam-padmapuranagatam1,simple
000417,838_0002,bhagavatamahatmyam-padmapuranagatam1,simple
000418,838_0027,bhagavatamahatmyam-padmapuranagatam1,simple
000419,838_0001,bhagavatamahatmyam-padmapuranagatam1,complex
000420,838_0029,bhagavatamahatmyam-padmapuranagatam1,simple
000421,838_0017,bhagavatamahatmyam-padmapuranagatam1,simple
000422,838_0012,bhagavatamahatmyam-padmapuranagatam1,simple
000423,838_0023,bhagavatamahatmyam-padmapuranagatam1,simple
000424,838_0022,bhagavatamahatmyam-padmapuranagatam1,simple
000425,838_0016,bhagavatamahatmyam-padmapuranagatam1,simple
000426,838_0011,bhagavatamahatmyam-padmapuranagatam1,simple
000427,838_0020,bhagavatamahatmyam-padmapuranagatam1,simple
000428,838_0019,bhagavatamahatmyam-padmapuranagatam1,simple
000429,838_0014,bhagavatamahatmyam-padmapuranagatam1,simple
000430,838_0013,bhagavatamahatmyam-padmapuranagatam1,simple
000431,838_0008,bhagavatamahatmyam-padmapuranagatam1,simple
000432,838_0015,bhagavatamahatmyam-padmapuranagatam1,simple
000433,838_0004,bhagavatamahatmyam-padmapuranagatam1,simple
000434,838_0006,bhagavatamahatmyam-padmapuranagatam1,simple
000435,838_0018,bhagavatamahatmyam-padmapuranagatam1,simple
000436,838_0028,bhagavatamahatmyam-padmapuranagatam1,simple
000437,838_0005,bhagavatamahatmyam-padmapuranagatam1,simple
000438,408_0003,ravisankrantivicharah,simple
000439,408_0004,ravisankrantivicharah,simple
000440,408_0001,ravisankrantivicharah,complex
000441,408_0002,ravisankrantivicharah,simple
000442,215_0012,yajnavalkyashiksha,simple
000443,215_0005,yajnavalkyashiksha,complex
000444,215_0010,yajnavalkyashiksha,simple
000445,215_0003,yajnavalkyashiksha,complex
000446,215_0009,yajnavalkyashiksha,simple
000447,215_0015,yajnavalkyashiksha,simple
000448,215_0007,yajnavalkyashiksha,simple
000449,215_0016,yajnavalkyashiksha,simple
000450,215_0013,yajnavalkyashiksha,simple
000451,215_0006,yajnavalkyashiksha,simple
000452,215_0008,yajnavalkyashiksha,simple
000453,215_0004,yajnavalkyashiksha,complex
000454,215_0011,yajnavalkyashiksha,simple
000455,215_0002,yajnavalkyashiksha,complex
000456,215_0014,yajnavalkyashiksha,simple
000457,44_0009,ashirmanimala,simple
000458,44_0016,ashirmanimala,simple
000459,44_0013,ashirmanimala,simple
000460,44_0005,ashirmanimala,complex
000461,44_0015,ashirmanimala,simple
000462,44_0004,ashirmanimala,complex
000463,44_0011,ashirmanimala,simple
000464,44_0008,ashirmanimala,simple
000465,44_0014,ashirmanimala,simple
000466,44_0002,ashirmanimala,simple
000467,44_0010,ashirmanimala,simple
000468,44_0003,ashirmanimala,complex
000469,44_0007,ashirmanimala,complex
000470,44_0006,ashirmanimala,complex
000471,44_0012,ashirmanimala,simple
000472,5693_0003,dashabhuvanapatayah,simple
000473,5693_0006,dashabhuvanapatayah,simple
000474,5693_0002,dashabhuvanapatayah,complex
000475,5693_0001,dashabhuvanapatayah,complex
000476,5693_0009,dashabhuvanapatayah,complex
000477,5693_0010,dashabhuvanapatayah,complex
000478,5693_0008,dashabhuvanapatayah,complex
000479,5693_0005,dashabhuvanapatayah,complex
000480,5693_0007,dashabhuvanapatayah,simple
000481,5693_0004,dashabhuvanapatayah,complex
